Year,Farmer_Income,Fisher_Income,Income_Difference,Fisher_to_Farmer_Ratio,Farmer_Change_from_Previous,Fisher_Change_from_Previous
0,2182.726575342466,2232.419245283019,49.69266994055306,1.0227663283628443,0.0,0.0
1,2212.9628,2218.9664000000002,6.003600000000461,1.0027129240491528,30.236224657533967,-13.452845283018632
2,2243.4932,2227.71375,-15.779449999999997,0.9929665710598098,30.5304000000001,8.747349999999642
3,637.7409090909091,2184.146170212766,1546.4052611218567,3.4248174126484,-1605.7522909090908,-43.56757978723408
4,1987.3530666666668,3760.2357777777775,1772.8827111111107,1.8920824089323587,1349.6121575757577,1576.0896075650116
5,2038.6053333333332,2026.518913043478,-12.086420289855141,0.9940712309085876,51.2522666666664,-1733.7168647342994
6,1862.8319999999999,2142.360888888889,279.528888888889,1.150055876691451,-175.7733333333333,115.84197584541084
7,872.6085333333333,3760.8059999999996,2888.1974666666665,4.30984325311816,-990.2234666666666,1618.4451111111107
8,874.1313157894737,2059.1717391304346,1185.0404233409608,2.355677804850967,1.5227824561403622,-1701.634260869565
9,1979.7868,2290.0197872340423,310.2329872340422,1.1567001998568949,1105.6554842105265,230.84804810360765
10,686.14,4284.785416666667,3598.6454166666667,6.244768438899738,-1293.6468,1994.7656294326243
11,2207.9732894736844,2346.8175,138.8442105263157,1.062883102430742,1521.8332894736845,-1937.9679166666665
12,2067.5808,2321.0932653061227,253.51246530612252,1.1226130873850844,-140.39248947368424,-25.724234693877406
13,2146.6648684210527,4259.898039215686,2113.2331707946337,1.9844262147677438,79.0840684210525,1938.8047739095637
14,2250.0493421052633,2407.156603773585,157.10726166832183,1.0698239184040845,103.38447368421066,-1852.7414354421012
15,1686.9102564102564,2418.326603773585,731.4163473633284,1.4335834372836063,-563.139085695007,11.169999999999618
16,1694.5063636363636,4433.675,2739.1686363636363,2.6164994686036214,7.596107226107279,2015.3483962264154
17,751.2123287671233,2495.922115384615,1744.7097866174918,3.3225254961947703,-943.2940348692404,-1937.752884615385
18,2151.71397260274,2291.418518518519,139.7045459157789,1.0649270989056183,1400.5016438356165,-204.50359686609636
